Wall time,Step,Value
1671075799.8679028,359,99.5
1671075800.5002148,360,99.5
1671075801.1684332,361,99.69999694824219
1671075801.7798097,362,99.9000015258789
1671075802.3971603,363,99.9000015258789
1671075803.0504184,364,99.9000015258789
1671075803.6907077,365,99.5999984741211
1671075804.3191316,366,99.9000015258789
1671075804.993334,367,100.0
1671075805.619662,368,99.80000305175781
1671075806.2360153,369,99.80000305175781
1671075806.9093258,370,99.80000305175781
1671075807.5057347,371,99.5999984741211
1671075808.118251,372,99.5999984741211
1671075808.7854679,373,99.5999984741211
1671075809.44082,374,100.0
1671075810.0631573,375,100.0
1671075810.7463334,376,99.9000015258789
1671075811.388619,377,99.9000015258789
1671075812.0119555,378,100.0
1671075812.663325,379,100.0
1671075813.2916462,380,99.9000015258789
1671075813.8810756,381,99.0
1671075814.5482922,382,99.69999694824219
1671075815.185591,383,100.0
1671075815.8228915,384,100.0
1671075816.4911063,385,100.0
1671075817.1313975,386,100.0
1671075817.800611,387,100.0
1671075818.4559803,388,100.0
1671075819.0932796,389,100.0
1671075819.7147455,390,100.0
1671075820.3660088,391,100.0
1671075820.986351,392,100.0
1671075821.609689,393,100.0
1671075822.2491136,394,99.9000015258789
1671075822.876439,395,99.9000015258789
1671075823.4919116,396,99.80000305175781
1671075824.1282153,397,99.5
1671075824.7556524,398,99.4000015258789
1671075825.4079115,399,99.69999694824219
1671075826.0671535,400,99.5999984741211
1671075826.7303815,401,99.80000305175781
1671075827.366688,402,100.0
1671075828.0119636,403,100.0
1671075828.6552467,404,100.0
1671075829.3104997,405,100.0
1671075829.9569914,406,100.0
1671075830.6052628,407,100.0
1671075831.2674966,408,100.0
1671075831.925742,409,100.0
1671075832.529129,410,99.69999694824219
1671075833.1586142,411,99.9000015258789
1671075833.8108754,412,99.9000015258789
1671075834.4133701,413,99.4000015258789
1671075835.0606453,414,99.5
1671075835.7000763,415,99.80000305175781
1671075836.2994747,416,100.0
1671075836.9299562,417,100.0
1671075837.6041584,418,100.0
1671075838.2356164,419,100.0
1671075838.890869,420,100.0
1671075839.5731525,421,100.0
1671075840.1825278,422,100.0
1671075840.789047,423,99.9000015258789
1671075841.4776342,424,98.69999694824219
1671075842.0840158,425,99.0999984741211
1671075842.7103457,426,99.4000015258789
1671075843.4464602,427,99.5999984741211
1671075844.0468845,428,99.9000015258789
1671075844.6911652,429,99.9000015258789
1671075845.3744462,430,100.0
1671075845.9788349,431,100.0
1671075846.598276,432,100.0
1671075847.253527,433,100.0
1671075847.8728778,434,100.0
1671075848.5161614,435,99.9000015258789
1671075849.2063203,436,98.69999694824219
1671075849.8027267,437,99.4000015258789
1671075850.42816,438,99.80000305175781
1671075851.1133301,439,99.0
1671075851.722803,440,98.80000305175781
1671075852.3780563,441,99.30000305175781
1671075853.0882676,442,98.30000305175781
1671075853.6886652,443,98.5
1671075854.296046,444,97.19999694824219
1671075854.9602706,445,99.30000305175781
